timestamp	phase	score	words	keep_discard	description
discarded	foundation	0.0	0	discard	Iteration 1: no improvement (0.0 <= 0.0)
3f62817	foundation	0.0	0	keep	Iteration 1: score improved 0.0 -> 0.0
af2d76b	foundation	0.0	0	keep	Iteration 1: score improved 0.0 -> 0.0
0314c38	foundation	0.0	0	keep	Iteration 1: score improved 0.0 -> 0.0
2ec6c78	foundation	0.0	0	keep	Iteration 2: score improved 0.0 -> 0.0
54640a0	foundation	0.0	0	keep	Iteration 3: score improved 0.0 -> 0.0
5a68eb0	foundation	0.0	0	keep	Iteration 4: score improved 0.0 -> 0.0
142f722	foundation	0.0	0	keep	Iteration 5: score improved 0.0 -> 0.0
0cff404	foundation	0.0	0	keep	Iteration 6: score improved 0.0 -> 0.0
0d753ec	foundation	0.0	0	keep	Iteration 7: score improved 0.0 -> 0.0
32e4f09	foundation	0.0	0	keep	Iteration 8: score improved 0.0 -> 0.0
6a7e349	foundation	0.0	0	keep	Iteration 9: score improved 0.0 -> 0.0
37ac5e5	foundation	0.0	0	keep	Iteration 10: score improved 0.0 -> 0.0
7cab306	foundation	0.0	0	keep	Iteration 11: score improved 0.0 -> 0.0
a624f90	foundation	0.0	0	keep	Iteration 12: score improved 0.0 -> 0.0
7d96ca0	foundation	0.0	0	keep	Iteration 13: score improved 0.0 -> 0.0
5b8e64c	foundation	6.0	0	keep	Iteration 1: score improved 0.0 -> 6.0
788f03b	foundation	6.0	0	keep	Iteration 2: score improved 6.0 -> 6.0
discarded	foundation	-1.0	0	discard	Iteration 20: no improvement (-1.0 <= 6.0)
fe30477	revision-cycle-1	0.0	0	cycle	Cycle 1: novel_score 0.0->0.0
4faee42	revision-cycle-2	0.0	0	cycle	Cycle 2: novel_score 0.0->0.0
1b4f4a2	revision-cycle-3	0.0	0	cycle	Cycle 3: novel_score 0.0->0.0
da1e81f	export	0.0	0	export	Final export
discarded	ch01	5.5	3196	discard	Chapter 1 attempt 1
discarded	ch01	2.7	3216	discard	Chapter 1 attempt 2
discarded	ch01	5.8	2944	discard	Chapter 1 attempt 3
discarded	ch01	5.0	2635	discard	Chapter 1 attempt 4
3d6993e	ch01	6.5	2920	keep	Chapter 1 (attempt 5)
46bd48c	ch02	8.0	3413	keep	Chapter 2 (attempt 1)
7b51180	ch03	7.0	2719	keep	Chapter 3 (attempt 1)
discarded	ch04	5.2	3346	discard	Chapter 4 attempt 1
2ba590f	ch04	7.2	3723	keep	Chapter 4 (attempt 2)
e7cf583	ch05	7.0	3314	keep	Chapter 5 (attempt 1)
623ca11	ch06	8.0	3002	keep	Chapter 6 (attempt 1)
discarded	ch07	4.5	3506	discard	Chapter 7 attempt 1
